,index,Track,Artist,Album,Plays,Year,Month,Hour,Temperature
512,566,Too Much Sauce,Dj Esco,Too Much Sauce,53,2017.0,7.0,14.0,73.5
513,486,Apple Pie,Travis Scott,Rodeo (Deluxe),53,2017.0,9.0,13.0,65.5
514,1366,Snow White,Dennis Lloyd,Snow White,53,2019.0,3.0,20.0,60.5
515,116,Bambina,Vampire Weekend,Father of the Bride,53,2020.0,9.0,15.0,59.5
516,1362,Sunday Candy,Donnie Trumpet & The Social Experiment,Surf,53,2018.0,3.0,14.0,55.0
517,493,High End,Chris Brown,High End,53,2017.0,10.0,13.0,54.5
518,1387,Basically,Lil Xan,Total Xanarchy,52,2018.0,9.0,17.0,74.75
519,1417,Night Running,Cage the Elephant,Goodbye / Ready To Let Go / Night Running / House of Glass,52,2019.0,5.0,14.0,74.0
520,1344,First Class,Rainbow Kitten Surprise,Seven + Mary,52,2019.5,8.0,17.0,72.0
521,764,No Type,Rae Sremmurd,SremmLife,52,2017.0,7.5,14.0,67.75
522,187,Heathens,Twenty One Pilots,Heathens,52,2018.0,9.0,15.0,60.5
523,480,Oh My Dis Side,Travis Scott,Rodeo (Deluxe),52,2017.0,8.5,14.0,60.0
524,2257,Ric Flair Drip (& Metro Boomin),Offset,Without Warning,52,2018.0,3.5,15.0,53.0
525,920,Send Me On My Way,Rusted Root,When I Woke,51,2019.0,5.0,14.0,72.5
526,921,Thunder,Imagine Dragons,Evolve,51,2019.0,6.0,15.0,72.5
527,594,Chill Bill REMIX,Rob $tone,Chill Bill REMIX,51,2017.0,7.0,14.0,72.0
528,960,Shape of You,Ed Sheeran,÷ (Deluxe),51,2019.0,5.0,15.0,71.0
529,953,Guru,Coast Modern,Guru,51,2019.0,7.0,15.0,62.0
530,591,Congratulations,Post Malone,Stoney (Deluxe),51,2018.0,8.0,13.0,60.5
531,929,Strings,Young the Giant,Young the Giant (Special Edition),51,2019.0,5.0,16.0,57.0
532,898,Madiba Riddim,Drake,More Life,50,2017.0,7.0,13.5,78.0
533,845,In My Feelings,Drake,Scorpion,50,2018.0,8.0,16.0,72.75
534,452,Ragged Wood,Fleet Foxes,Fleet Foxes,50,2020.0,8.0,15.0,57.0
535,1618,Paper Planes,M.I.A.,Kala,49,2018.0,6.0,15.0,79.0
536,512,Didya Think,arlie,wait,49,2019.0,8.0,14.0,75.5
537,1647,Feel It Still,Portugal. The Man,Woodstock,49,2019.0,5.0,13.0,75.0
538,971,Bluish,Animal Collective,Merriweather Post Pavilion,49,2017.0,7.0,10.0,74.0
539,1418,Consideration,Rihanna,ANTI,49,2019.0,5.0,14.0,72.0
540,728,It's Called: Freefall,Rainbow Kitten Surprise,How To: Friend Love Freefall,49,2019.0,9.0,14.0,69.0
541,2177,Westcoast Collective,Dominic Fike,Don't Forget About Me Demos,49,2020.0,5.0,14.0,69.0
542,850,Dollar Bill,Hippo Campus,SOUTH,49,2019.0,7.0,14.0,63.5
543,1109,Pumped Up Kicks,Foster the People,Torches,49,2019.0,7.0,14.0,63.0
544,1140,I'm the One,DJ Khaled,I'm the One,48,2017.0,5.0,13.0,75.75
545,901,Top,Lil Uzi Vert,Luv Is Rage,48,2017.0,6.0,15.0,71.75
546,384,Boyz-N-The-Hood - Remix,Eazy-E,Eazy-Duz-It,48,2018.0,6.0,16.0,69.25
547,1970,Inside My Head,SUGR?,Inside My Head,48,2020.0,3.0,14.0,60.5
548,1185,Sunday Best,Surfaces,Where the Light Is,48,2019.5,4.0,14.0,58.25
549,1731,Back Of My Mind,Two Feet,A 20 Something Fuck,48,2019.0,3.0,18.5,57.5
550,127,bad guy,Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,48,2019.0,11.0,15.0,55.0
551,969,When the Sun Goes Down,Arctic Monkeys,Whatever People Say I Am That's What I'm Not,48,2019.0,3.0,14.0,54.5
552,992,Mediterranean,Quality Control,Quality Control: Control the Streets Volume 1,48,2017.5,11.5,11.5,49.25
553,1300,Show Me,Kid Ink,My Own Lane,47,2017.0,6.0,14.0,78.0
554,1376,Summertime Magic,Childish Gambino,Summer Pack,47,2019.0,5.0,13.0,72.5
555,720,Black Madonna,Cage the Elephant,Social Cues,47,2019.0,8.0,14.0,72.0
556,765,Take On Me,a-ha,Hunting High and Low,47,2018.0,7.0,13.0,70.5
557,1107,Love Lies (with Normani),Khalid,Love Lies (with Normani),47,2018.0,9.0,15.0,67.5
558,266,Gucci On My (feat. 21 Savage YG & Migos),Mike Will Made-It,RANSOM 2,47,2017.0,9.0,14.0,67.0
559,954,Sweetest Hangover,Skizzy Mars (ft. Marc E Bassy),Sweetest Hangover,47,2017.0,6.0,13.0,61.5
560,142,Taking A Walk,Trippie Redd,Life's a Trip,47,2018.0,9.0,4.0,58.0
561,914,Heaven Falls / Fall on Me,Surfaces,Heaven Falls / Fall on Me,47,2020.0,4.0,14.0,58.0
562,1299,Black & Chinese,Huncho Jack,Huncho Jack Jack Huncho,47,2018.0,4.0,16.0,53.0
563,755,90210 (feat. Kacy Hill),Travis Scott,Rodeo (Deluxe),46,2020.0,6.0,16.5,69.5
564,724,SUPERPOSITION,Daniel Caesar,CASE STUDY 01,46,2019.0,9.0,15.0,66.0
565,894,Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. The World,46,2017.0,6.0,15.0,66.0
566,647,Nice for What,Drake,Nice For What,46,2018.5,7.5,15.5,63.75
567,649,Sad!,XXXTentacion,?,46,2018.0,5.0,13.0,59.5
568,143,Young Lion,Vampire Weekend,Modern Vampires of the City,46,2018.0,9.0,5.0,56.75
569,1745,Huncho Jack,Huncho Jack,Huncho Jack Jack Huncho,46,2018.0,5.0,12.0,53.5
570,1859,Far,Lil Xan,Far,46,2018.0,8.5,12.0,52.75
571,288,rockstar,Post Malone,rockstar,46,2017.0,10.0,11.0,51.0
572,69,Blue World,Mac Miller,Circles,45,2020.0,8.0,16.0,82.0
573,1082,Brighter Days,Saint Raymond,Young Blood,45,2018.0,7.0,15.0,78.0
574,94,Suffocation Blues,Black Pistol Fire,Black Pistol Fire,45,2019.0,8.0,15.0,76.5
575,91,Psycho,Muse,Drones,45,2019.0,8.0,17.0,75.5
576,589,Throw Sum Mo,Rae Sremmurd,SremmLife,45,2017.0,6.0,13.0,75.0
577,779,Pick Up The Phone,Young Thug,Jeffery,45,2017.0,9.0,14.0,74.5
578,1124,Rawnald Gregory Erickson the Second,Starfucker,Starfucker,45,2019.0,8.0,16.0,74.0
