,Artist,Month,Plays,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
1257,Lee Morgan,8.0,1,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz', 'vocal jazz']",0.7217317073170729,0.5204878048780486,443823.0487804878,0.4546756097560975,0.29212427682926834,0.1285829268292683,-10.8910487804878,0.04954878048780489,125.55236585365849,0.5825121951219514,21.341463414634145,5,0,82
1256,Lee Morgan,9.0,1,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz', 'vocal jazz']",0.7217317073170729,0.5204878048780486,443823.0487804878,0.4546756097560975,0.29212427682926834,0.1285829268292683,-10.8910487804878,0.04954878048780489,125.55236585365849,0.5825121951219514,21.341463414634145,5,0,82
961,YBN Nahmir,4.0,1,"['alabama rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']",0.13589272727272728,0.7648181818181818,171801.18181818182,0.6390909090909089,9.909090909090909e-07,0.13987272727272726,-7.719272727272727,0.2209272727272727,129.95263636363634,0.5414545454545454,63.63636363636363,1,1,11
1288,Beyoncé,7.0,1,"['dance pop', 'pop', 'post-teen pop', 'r&b']",0.19906372222222246,0.5906944444444444,242918.8444444445,0.6034722222222224,0.00893564661111111,0.19559500000000007,-6.961722222222225,0.15321333333333345,122.51001111111113,0.4778988888888887,57.522222222222226,1,1,180
1202,Justin Bieber,2.0,1,"['canadian pop', 'pop', 'post-teen pop']",0.25454012222222205,0.631111111111111,216574.1944444445,0.6260011111111107,0.003820026333333333,0.17288111111111118,-6.694444444444442,0.08208611111111112,122.81121666666672,0.5409138888888889,65.13333333333334,0,1,180
1200,Justin Bieber,9.0,1,"['canadian pop', 'pop', 'post-teen pop']",0.25454012222222205,0.631111111111111,216574.1944444445,0.6260011111111107,0.003820026333333333,0.17288111111111118,-6.694444444444442,0.08208611111111112,122.81121666666672,0.5409138888888889,65.13333333333334,0,1,180
1060,The Walters,7.0,1,"['chicago indie', 'indie garage rock', 'indie pop']",0.5646,0.6387999999999999,172398.2,0.472,0.064634,0.15861999999999998,-7.959799999999999,0.031180000000000006,98.7452,0.5872,55.8,11,1,10
1145,Dennis Lloyd,3.0,1,['israeli pop'],0.358,0.617,176259.5,0.5485,6.45e-06,0.2555,-6.928,0.12555,108.0445,0.16415,70.5,5,0,4
1141,Dennis Lloyd,10.0,1,['israeli pop'],0.358,0.617,176259.5,0.5485,6.45e-06,0.2555,-6.928,0.12555,108.0445,0.16415,70.5,5,0,4
1065,Hozier,7.0,1,"['irish singer-songwriter', 'modern rock', 'pop']",0.4693704545454551,0.4862386363636366,249005.31818181818,0.4777954545454542,0.03735419988636363,0.13883863636363644,-7.6782272727272725,0.04142045454545455,115.57039772727279,0.3265249999999998,59.05681818181818,7,1,88
1066,Hozier,6.0,1,"['irish singer-songwriter', 'modern rock', 'pop']",0.4693704545454551,0.4862386363636366,249005.31818181818,0.4777954545454542,0.03735419988636363,0.13883863636363644,-7.6782272727272725,0.04142045454545455,115.57039772727279,0.3265249999999998,59.05681818181818,7,1,88
1132,Miguel,9.0,1,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.2587316307692307,0.5921538461538461,227397.1538461539,0.593230769230769,0.00028945707692307703,0.2379569230769229,-6.975215384615388,0.11392307692307695,110.21803076923072,0.3701999999999999,60.07692307692307,0,1,65
1130,Hundred Waters,8.0,1,"['gainesville indie', 'indie psych-pop']",0.3053333333333333,0.5166666666666667,232319.33333333328,0.5626666666666668,0.002953333333333333,0.18566666666666665,-7.192999999999999,0.052000000000000005,110.592,0.08560000000000001,57.66666666666666,1,1,3
1070,Hozier,2.0,1,"['irish singer-songwriter', 'modern rock', 'pop']",0.4693704545454551,0.4862386363636366,249005.31818181818,0.4777954545454542,0.03735419988636363,0.13883863636363644,-7.6782272727272725,0.04142045454545455,115.57039772727279,0.3265249999999998,59.05681818181818,7,1,88
1129,Hundred Waters,10.0,1,"['gainesville indie', 'indie psych-pop']",0.3053333333333333,0.5166666666666667,232319.33333333328,0.5626666666666668,0.002953333333333333,0.18566666666666665,-7.192999999999999,0.052000000000000005,110.592,0.08560000000000001,57.66666666666666,1,1,3
1128,Dean Lewis,1.0,1,"['australian pop', 'pop']",0.635625,0.577375,203881.875,0.5119999999999999,4.498750000000002e-06,0.13335,-8.04225,0.0444,115.61275,0.4006250000000001,71.375,11,1,16
1127,Dean Lewis,7.0,1,"['australian pop', 'pop']",0.635625,0.577375,203881.875,0.5119999999999999,4.498750000000002e-06,0.13335,-8.04225,0.0444,115.61275,0.4006250000000001,71.375,11,1,16
1126,Dean Lewis,10.0,1,"['australian pop', 'pop']",0.635625,0.577375,203881.875,0.5119999999999999,4.498750000000002e-06,0.13335,-8.04225,0.0444,115.61275,0.4006250000000001,71.375,11,1,16
1059,The Walters,8.0,1,"['chicago indie', 'indie garage rock', 'indie pop']",0.5646,0.6387999999999999,172398.2,0.472,0.064634,0.15861999999999998,-7.959799999999999,0.031180000000000006,98.7452,0.5872,55.8,11,1,10
1125,Eazy-E,2.0,1,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",0.029420806451612894,0.7614032258064515,275367.22580645164,0.7902258064516129,0.00023233854838709678,0.3088919354838709,-5.502016129032259,0.23080161290322584,108.51025806451608,0.6127741935483871,42.854838709677416,7,1,62
1123,Eazy-E,7.0,1,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",0.029420806451612894,0.7614032258064515,275367.22580645164,0.7902258064516129,0.00023233854838709678,0.3088919354838709,-5.502016129032259,0.23080161290322584,108.51025806451608,0.6127741935483871,42.854838709677416,7,1,62
1122,Eazy-E,8.0,1,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",0.029420806451612894,0.7614032258064515,275367.22580645164,0.7902258064516129,0.00023233854838709678,0.3088919354838709,-5.502016129032259,0.23080161290322584,108.51025806451608,0.6127741935483871,42.854838709677416,7,1,62
1121,Eazy-E,10.0,1,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",0.029420806451612894,0.7614032258064515,275367.22580645164,0.7902258064516129,0.00023233854838709678,0.3088919354838709,-5.502016129032259,0.23080161290322584,108.51025806451608,0.6127741935483871,42.854838709677416,7,1,62
1117,Dreamville,3.0,1,"['hip hop', 'rap', 'underground hip hop']",0.2281,0.7305,229802.33333333328,0.6635,7.933333333333334e-07,0.15511666666666665,-5.809833333333334,0.3366666666666667,130.04666666666668,0.4175,67.0,0,1,6
1084,The Kid LAROI,10.0,1,['australian hip hop'],0.1650557575757576,0.6434545454545456,147159.22727272724,0.6088181818181818,0.0,0.19431060606060602,-6.086636363636365,0.13472424242424244,117.0411060606061,0.4183939393939393,72.89393939393939,6,1,66
1116,Dreamville,7.0,1,"['hip hop', 'rap', 'underground hip hop']",0.2281,0.7305,229802.33333333328,0.6635,7.933333333333334e-07,0.15511666666666665,-5.809833333333334,0.3366666666666667,130.04666666666668,0.4175,67.0,0,1,6
1115,Dreamville,10.0,1,"['hip hop', 'rap', 'underground hip hop']",0.2281,0.7305,229802.33333333328,0.6635,7.933333333333334e-07,0.15511666666666665,-5.809833333333334,0.3366666666666667,130.04666666666668,0.4175,67.0,0,1,6
1103,The Neighbourhood,2.0,1,"['modern alternative rock', 'modern rock', 'pop', 'rock']",0.0990079875,0.5375749999999998,235786.6625,0.6697375,0.12532143474999996,0.22635375000000005,-6.427012499999999,0.043837500000000015,108.1766875,0.31003250000000004,63.6625,7,0,80
1088,Civil Twilight,11.0,1,"['cape town indie', 'piano rock', 'south african rock']",0.561,0.342,275040.0,0.7,0.00121,0.0994,-5.955,0.0449,150.04,0.11800000000000001,50.0,8,1,2
1102,The Neighbourhood,8.0,1,"['modern alternative rock', 'modern rock', 'pop', 'rock']",0.0990079875,0.5375749999999998,235786.6625,0.6697375,0.12532143474999996,0.22635375000000005,-6.427012499999999,0.043837500000000015,108.1766875,0.31003250000000004,63.6625,7,0,80
1101,The Neighbourhood,9.0,1,"['modern alternative rock', 'modern rock', 'pop', 'rock']",0.0990079875,0.5375749999999998,235786.6625,0.6697375,0.12532143474999996,0.22635375000000005,-6.427012499999999,0.043837500000000015,108.1766875,0.31003250000000004,63.6625,7,0,80
1099,The Neighbourhood,11.0,1,"['modern alternative rock', 'modern rock', 'pop', 'rock']",0.0990079875,0.5375749999999998,235786.6625,0.6697375,0.12532143474999996,0.22635375000000005,-6.427012499999999,0.043837500000000015,108.1766875,0.31003250000000004,63.6625,7,0,80
2153,Skeme,1.0,1,"['soul flow', 'west coast trap']",0.0872,0.47700000000000004,252307.0,0.647,0.0,0.11900000000000001,-4.657,0.34299999999999997,109.87899999999999,0.5489999999999999,56.0,3,0,1
1201,Justin Bieber,7.0,1,"['canadian pop', 'pop', 'post-teen pop']",0.25454012222222205,0.631111111111111,216574.1944444445,0.6260011111111107,0.003820026333333333,0.17288111111111118,-6.694444444444442,0.08208611111111112,122.81121666666672,0.5409138888888889,65.13333333333334,0,1,180
1058,The Walters,11.0,1,"['chicago indie', 'indie garage rock', 'indie pop']",0.5646,0.6387999999999999,172398.2,0.472,0.064634,0.15861999999999998,-7.959799999999999,0.031180000000000006,98.7452,0.5872,55.8,11,1,10
1146,Dennis Lloyd,2.0,1,['israeli pop'],0.358,0.617,176259.5,0.5485,6.45e-06,0.2555,-6.928,0.12555,108.0445,0.16415,70.5,5,0,4
1198,Fugees,4.0,1,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']",0.18386444444444444,0.7124444444444447,278508.15555555554,0.4453777777777779,1.3850222222222226e-05,0.2841022222222224,-13.657666666666666,0.3340533333333333,97.57988888888887,0.5843555555555557,50.31111111111111,1,1,45
1195,Fugees,9.0,1,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']",0.18386444444444444,0.7124444444444447,278508.15555555554,0.4453777777777779,1.3850222222222226e-05,0.2841022222222224,-13.657666666666666,0.3340533333333333,97.57988888888887,0.5843555555555557,50.31111111111111,1,1,45
1192,Generationals,8.0,1,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",0.1089666666666667,0.6883333333333334,209919.66666666663,0.8326666666666666,0.001857,0.09166666666666666,-3.86,0.036533333333333334,101.945,0.733,57.0,11,1,6
1191,Generationals,9.0,1,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",0.1089666666666667,0.6883333333333334,209919.66666666663,0.8326666666666666,0.001857,0.09166666666666666,-3.86,0.036533333333333334,101.945,0.733,57.0,11,1,6
1190,Generationals,10.0,1,"['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",0.1089666666666667,0.6883333333333334,209919.66666666663,0.8326666666666666,0.001857,0.09166666666666666,-3.86,0.036533333333333334,101.945,0.733,57.0,11,1,6
1187,Kendrick Lamar,3.0,1,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.2217949344978166,0.6357467248908294,271209.2445414847,0.6833755458515278,0.001932377903930132,0.2751541484716157,-6.967930131004372,0.2732205240174673,115.2838296943232,0.4606065502183408,59.93013100436682,1,1,229
1186,Kendrick Lamar,6.0,1,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.2217949344978166,0.6357467248908294,271209.2445414847,0.6833755458515278,0.001932377903930132,0.2751541484716157,-6.967930131004372,0.2732205240174673,115.2838296943232,0.4606065502183408,59.93013100436682,1,1,229
1185,Kendrick Lamar,8.0,1,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.2217949344978166,0.6357467248908294,271209.2445414847,0.6833755458515278,0.001932377903930132,0.2751541484716157,-6.967930131004372,0.2732205240174673,115.2838296943232,0.4606065502183408,59.93013100436682,1,1,229
1180,Gene Harris & The Three Sounds,10.0,1,"['jazz funk', 'soul jazz']",0.474,0.711,379466.5,0.579,0.14976,0.12985000000000002,-9.197500000000002,0.03775,84.2425,0.7384999999999999,36.0,2,1,4
1179,G-Eazy,1.0,1,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",0.09840185641025642,0.6558846153846155,217308.2564102564,0.6526025641025646,0.001461250769230769,0.15459487179487172,-7.0467564102564095,0.19811410256410253,123.12370512820513,0.3847910256410256,59.67948717948718,11,1,78
1178,G-Eazy,5.0,1,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",0.09840185641025642,0.6558846153846155,217308.2564102564,0.6526025641025646,0.001461250769230769,0.15459487179487172,-7.0467564102564095,0.19811410256410253,123.12370512820513,0.3847910256410256,59.67948717948718,11,1,78
1177,G-Eazy,10.0,1,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",0.09840185641025642,0.6558846153846155,217308.2564102564,0.6526025641025646,0.001461250769230769,0.15459487179487172,-7.0467564102564095,0.19811410256410253,123.12370512820513,0.3847910256410256,59.67948717948718,11,1,78
1057,Afourteen,11.0,1,"['dark trap', 'meme rap']",0.0261,0.7240000000000001,310250.0,0.8909999999999999,0.0,0.273,-0.354,0.294,92.478,0.71,63.0,1,1,1
1034,Her's,11.0,1,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",0.199475,0.56825,257365.0,0.7492500000000002,0.226034,0.2485,-5.814,0.0371,125.37275,0.5962500000000002,64.5,9,1,8
1037,Grizzly Bear,9.0,1,"['alternative dance', 'art pop', 'baroque pop', 'brooklyn indie', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'new weird america', 'nu gaze', 'shimmer pop', 'stomp and holler']",0.3173222222222222,0.4246666666666667,280846.44444444444,0.6003333333333334,0.33272,0.11411111111111112,-7.629888888888887,0.03461111111111111,127.49055555555556,0.37799999999999995,55.22222222222222,11,1,9
1173,James Bay,8.0,1,"['modern rock', 'neo mellow', 'pop', 'pop rock']",0.510795652173913,0.592391304347826,238460.30434782608,0.4343913043478261,7.301739130434782e-06,0.2828,-7.948478260869563,0.046352173913043485,128.39043478260868,0.3506086956521739,63.04347826086956,1,1,23
1160,Donnie Trumpet & The Social Experiment,3.0,1,['pop soul'],0.53,0.511,226014.0,0.596,0.0,0.0798,-6.56,0.22399999999999998,158.063,0.5539999999999999,67.0,0,1,2
1158,Donnie Trumpet & The Social Experiment,5.0,1,['pop soul'],0.53,0.511,226014.0,0.596,0.0,0.0798,-6.56,0.22399999999999998,158.063,0.5539999999999999,67.0,0,1,2
1157,Donnie Trumpet & The Social Experiment,6.0,1,['pop soul'],0.53,0.511,226014.0,0.596,0.0,0.0798,-6.56,0.22399999999999998,158.063,0.5539999999999999,67.0,0,1,2
1156,Donnie Trumpet & The Social Experiment,10.0,1,['pop soul'],0.53,0.511,226014.0,0.596,0.0,0.0798,-6.56,0.22399999999999998,158.063,0.5539999999999999,67.0,0,1,2
1154,Lukas Graham,3.0,1,"['danish pop', 'pop', 'scandipop']",0.1657111111111111,0.6494444444444445,209179.0,0.5388888888888889,1.4222222222222225e-05,0.2258,-5.7073333333333345,0.0616,139.3117777777778,0.415,73.55555555555556,9,0,9
1153,Lukas Graham,5.0,1,"['danish pop', 'pop', 'scandipop']",0.1657111111111111,0.6494444444444445,209179.0,0.5388888888888889,1.4222222222222225e-05,0.2258,-5.7073333333333345,0.0616,139.3117777777778,0.415,73.55555555555556,9,0,9
1151,Lukas Graham,10.0,1,"['danish pop', 'pop', 'scandipop']",0.1657111111111111,0.6494444444444445,209179.0,0.5388888888888889,1.4222222222222225e-05,0.2258,-5.7073333333333345,0.0616,139.3117777777778,0.415,73.55555555555556,9,0,9
1150,Macklemore & Ryan Lewis,2.0,1,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.21477647058823526,0.6275294117647059,271068.1176470588,0.6830588235294117,2.623529411764706e-06,0.16929411764705882,-6.474764705882355,0.16349411764705885,107.68058823529414,0.5343529411764707,65.47058823529412,7,1,17
1149,Macklemore & Ryan Lewis,5.0,1,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.21477647058823526,0.6275294117647059,271068.1176470588,0.6830588235294117,2.623529411764706e-06,0.16929411764705882,-6.474764705882355,0.16349411764705885,107.68058823529414,0.5343529411764707,65.47058823529412,7,1,17
1148,Macklemore & Ryan Lewis,10.0,1,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.21477647058823526,0.6275294117647059,271068.1176470588,0.6830588235294117,2.623529411764706e-06,0.16929411764705882,-6.474764705882355,0.16349411764705885,107.68058823529414,0.5343529411764707,65.47058823529412,7,1,17
1175,James Bay,3.0,1,"['modern rock', 'neo mellow', 'pop', 'pop rock']",0.510795652173913,0.592391304347826,238460.30434782608,0.4343913043478261,7.301739130434782e-06,0.2828,-7.948478260869563,0.046352173913043485,128.39043478260868,0.3506086956521739,63.04347826086956,1,1,23
1289,The Dave Brubeck Quartet,10.0,1,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz quartet']",0.7869585903083703,0.5591762114537444,348302.2907488987,0.2952801762114538,0.3552445937004406,0.2783449339207047,-16.05905726872247,0.04635903083700444,117.34718502202642,0.5204863436123354,21.061674008810574,5,0,227
1290,The Dave Brubeck Quartet,9.0,1,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz quartet']",0.7869585903083703,0.5591762114537444,348302.2907488987,0.2952801762114538,0.3552445937004406,0.2783449339207047,-16.05905726872247,0.04635903083700444,117.34718502202642,0.5204863436123354,21.061674008810574,5,0,227
1293,Sublime,8.0,1,"['reggae fusion', 'ska mexicano', 'ska punk']",0.19374694265486733,0.6293982300884958,195708.6238938053,0.6222247787610623,0.08333342017699116,0.2205663716814159,-7.595128318584063,0.11030796460176996,109.8743761061947,0.5903628318584068,43.22123893805311,9,1,226
